ASV	CD15.321	CBD15.394	CBD75.118	CD15.1350	CBD75.573	CBD75.180	CC.586	CC.111	CBD15.173	CC.198	CD15.701	CBD15.112	CD15.1359	CD15.335	CBD15.702	CBD75.593	CBD75.1323	CC.58	CD15.71	CBD75.363	CBD15.114	CC.26	CBD15.318	CC.125	CD15.77	CD15.377	CD15.1366	CD75.1000	CBD75.165	CBD75.710	CBD15.706	CD15.585	CBD15.34	CC.90	CBD75.384	CBD15.1370	CC.371	CC.1301	CD75.1396	CD15.1369	CD75.385	CBD75.89	CD75.392	CBD15.351	CBD75.174	CBD15.916	CD15.1339	CD75.87	CBD75.571	CBD15.142	CC.396	CD75.1398	CC.1338	CNE.1354	CD75.711	CNE.378	CD75.964	CNEB.1331	CNE.20	IBD15.114	IBD15.351	CD75.141	CNEB.158	IBD15.706	CNEB.354	CD75.714	CD75.997	IBD15.394	CNE.1375	CNE.722	CD75.187	IBD15.142	CNE.316	CNEB.193	IBD75.144	CNEB.1343	IBD75.710	IBD15.916	IBD75.363	IBD15.594	IBD15.156	CNEB.581	CNEB.195	CNE.128	CNEB.1356	CNE.97	IBD15.34	IBD75.89	IBD75.571	CNE.146	IBD75.593	CNE.362	IBD75.102	IBD75.118	IBD15.702	IC.125	IC.1314	ID15.1350	IC.26	CNEB.709	CNEB.309	IC.1338	CNE.177	CNEB.1325	CNEB.1358	ID15.321	IC.1301	CNE.370	ID15.701	INEB.309	ID15.71	ID15.1359	ID75.1398	IC.396	INEB.1331	IBD15.112	ID75.392	IC.1388	INE.121	INE.20	ID75.141	ID15.335	ID15.1363	ID15.910	INEB.1343	INEB.581	ID75.574	ID75.1000	ID15.1369	ID75.317	ID15.377	IC.198	IC.586	ID75.711	INE.128	ID75.87	INE.1375	ID75.385	INEB.1356	INE.316	INEB.709	INEB.1358	ID15.585	INE.177	IC.90	INE.378	INE.722
F209	0	0	0	0	0	0	7	618	0	8	0	0	0	0	77	5	0	8	0	0	2	4	0	9	0	0	0	0	0	0	0	0	3	6	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	0	0	0	45	0	27	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F210	3	1	0	6	0	10	35	2	4	15	9	1	0	12	8	5	10	0	12	0	14	7	14	15	2	17	0	6	9	0	23	2	0	40	8	62	33	20	9	0	22	0	2	11	3	2	7	11	16	2	36	9	22	0	6	0	21	14	9	0	2	8	14	0	23	8	4	0	12	3	13	0	0	9	0	10	0	0	0	0	0	16	10	9	9	8	3	0	0	24	0	5	0	0	3	0	0	0	0	14	9	0	3	13	8	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
F211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	132	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	135	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
F212	10	0	4	32	0	6	25	28	3	11	47	17	9	2	24	11	4	20	3	2	0	2	6	11	0	6	8	4	3	4	4	30	2	56	3	2	21	5	2	6	5	8	0	0	0	7	30	1	0	0	15	15	34	0	10	0	5	9	0	0	0	4	47	0	10	9	17	0	0	4	7	0	2	27	0	24	0	0	0	0	0	10	4	27	2	13	0	0	0	18	0	9	0	3	0	0	0	0	0	16	4	0	2	9	5	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F213	6	8	21	6	9	56	1	7	8	0	18	27	4	10	85	4	10	9	4	17	22	3	0	2	2	51	38	4	14	0	12	28	6	14	1	21	0	1	4	3	2	9	0	0	4	5	8	27	14	0	13	3	1	0	0	0	7	28	45	0	0	8	0	0	5	0	15	0	23	8	11	0	0	0	0	1	0	0	0	0	0	19	7	4	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	1	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	10	0	0	0	0	11	0	0	0	0	0	0	0	6	0	0	8	0	0	18	0	0	0	0	0	0	0	0	0	11	13	0	0	0	219	0	2	0	0	0	153	0	192	0	0	0	0	0	181	0	8	0	0	0	0
F215	4	7	11	20	5	15	13	8	20	6	3	43	4	5	4	6	5	19	30	6	6	5	6	11	0	6	5	3	14	8	5	12	33	10	8	9	14	76	2	4	2	16	3	3	10	43	6	10	14	8	12	16	14	0	27	2	10	2	9	2	2	10	2	0	3	18	7	0	9	5	6	0	1	15	0	3	0	0	0	0	0	8	2	10	0	3	0	0	0	10	0	11	0	0	6	0	0	0	0	5	0	0	3	2	4	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F216	6	4	6	14	0	3	22	0	0	12	19	2	6	5	8	3	42	34	32	7	16	16	18	6	0	4	4	3	15	0	20	21	11	51	9	25	14	12	4	4	23	16	2	22	5	35	0	16	5	1	15	4	18	0	8	3	13	4	8	2	0	16	0	0	9	7	5	0	0	7	3	0	0	6	0	5	0	0	0	0	0	14	1	4	4	6	0	0	0	4	0	6	0	0	0	0	0	0	0	10	0	0	2	1	5	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F217	0	0	0	0	0	0	4	0	0	17	0	0	0	0	0	0	0	41	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	9	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	7	39	9	0	0	91	0	0	0	0	0	0	0	0	0	23	49	0	0	0	0	248	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	29	21	0	0	0	0	0	0	40	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	33	0	15	23
F218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	10	0	0	0	212	3	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	8	0	5	3	22	4	36	0	0	0	0	0	0	15	37	0	196	0	0	7	0	0	0	0	0	43	7	11	0	0	0	0	11	0	0	0	6	6	2	3	5	0	0	0	1	3	0	0	34	2	3	18	68	2	1
